The 35201^th star output set does not reaches the unsafe region, P1 holds
The 35200^th star output set does not reaches the unsafe region, P1 holds
The 35199^th star output set does not reaches the unsafe region, P1 holds
The 35198^th star output set does not reaches the unsafe region, P1 holds
The 35197^th star output set does not reaches the unsafe region, P1 holds
The 35196^th star output set does not reaches the unsafe region, P1 holds
The 35195^th star output set does not reaches the unsafe region, P1 holds
The 35194^th star output set does not reaches the unsafe region, P1 holds
The 35193^th star output set does not reaches the unsafe region, P1 holds
The 35192^th star output set does not reaches the unsafe region, P1 holds
The 35191^th star output set does not reaches the unsafe region, P1 holds
The 35190^th star output set does not reaches the unsafe region, P1 holds
The 35189^th star output set does not reaches the unsafe region, P1 holds
The 35188^th star output set does not reaches the unsafe region, P1 holds
The 35187^th star output set does not reaches the unsafe region, P1 holds
The 35186^th star output set does not reaches the unsafe region, P1 holds
The 35185^th star output set does not reaches the unsafe region, P1 holds
The 35184^th star output set does not reaches the unsafe region, P1 holds
The 35183^th star output set does not reaches the unsafe region, P1 holds
The 35182^th star output set does not reaches the unsafe region, P1 holds
The 35181^th star output set does not reaches the unsafe region, P1 holds
The 35180^th star output set does not reaches the unsafe region, P1 holds
The 35179^th star output set does not reaches the unsafe region, P1 holds
The 35178^th star output set does not reaches the unsafe region, P1 holds
The 35177^th star output set does not reaches the unsafe region, P1 holds
The 35176^th star output set does not reaches the unsafe region, P1 holds
The 35175^th star output set does not reaches the unsafe region, P1 holds
The 35174^th star output set does not reaches the unsafe region, P1 holds
The 35173^th star output set does not reaches the unsafe region, P1 holds
The 35172^th star output set does not reaches the unsafe region, P1 holds
The 35171^th star output set does not reaches the unsafe region, P1 holds
The 35170^th star output set does not reaches the unsafe region, P1 holds
The 35169^th star output set does not reaches the unsafe region, P1 holds
The 35168^th star output set does not reaches the unsafe region, P1 holds
The 35167^th star output set does not reaches the unsafe region, P1 holds
The 35166^th star output set does not reaches the unsafe region, P1 holds
The 35165^th star output set does not reaches the unsafe region, P1 holds
The 35164^th star output set does not reaches the unsafe region, P1 holds
The 35163^th star output set does not reaches the unsafe region, P1 holds
The 35162^th star output set does not reaches the unsafe region, P1 holds
The 35161^th star output set does not reaches the unsafe region, P1 holds
The 35160^th star output set does not reaches the unsafe region, P1 holds
The 32134^th star output set does not reaches the unsafe region, P1 holds
The 35973^th star output set does not reaches the unsafe region, P1 holds
The 35972^th star output set does not reaches the unsafe region, P1 holds
The 35971^th star output set does not reaches the unsafe region, P1 holds
The 35970^th star output set does not reaches the unsafe region, P1 holds
The 35969^th star output set does not reaches the unsafe region, P1 holds
The 35968^th star output set does not reaches the unsafe region, P1 holds
The 35967^th star output set does not reaches the unsafe region, P1 holds
The 35966^th star output set does not reaches the unsafe region, P1 holds
The 35965^th star output set does not reaches the unsafe region, P1 holds
The 35964^th star output set does not reaches the unsafe region, P1 holds
The 35963^th star output set does not reaches the unsafe region, P1 holds
The 35962^th star output set does not reaches the unsafe region, P1 holds
The 35961^th star output set does not reaches the unsafe region, P1 holds
The 35960^th star output set does not reaches the unsafe region, P1 holds
The 35959^th star output set does not reaches the unsafe region, P1 holds
The 35958^th star output set does not reaches the unsafe region, P1 holds
The 35957^th star output set does not reaches the unsafe region, P1 holds
The 35956^th star output set does not reaches the unsafe region, P1 holds
The 35955^th star output set does not reaches the unsafe region, P1 holds
The 35954^th star output set does not reaches the unsafe region, P1 holds
The 35953^th star output set does not reaches the unsafe region, P1 holds
The 35952^th star output set does not reaches the unsafe region, P1 holds
The 35951^th star output set does not reaches the unsafe region, P1 holds
The 35950^th star output set does not reaches the unsafe region, P1 holds
The 35949^th star output set does not reaches the unsafe region, P1 holds
The 35948^th star output set does not reaches the unsafe region, P1 holds
The 35947^th star output set does not reaches the unsafe region, P1 holds
The 35946^th star output set does not reaches the unsafe region, P1 holds
The 35945^th star output set does not reaches the unsafe region, P1 holds
The 35944^th star output set does not reaches the unsafe region, P1 holds
The 35943^th star output set does not reaches the unsafe region, P1 holds
The 35942^th star output set does not reaches the unsafe region, P1 holds
The 35941^th star output set does not reaches the unsafe region, P1 holds
The 35940^th star output set does not reaches the unsafe region, P1 holds
The 35939^th star output set does not reaches the unsafe region, P1 holds
The 35938^th star output set does not reaches the unsafe region, P1 holds
The 35937^th star output set does not reaches the unsafe region, P1 holds
The 35936^th star output set does not reaches the unsafe region, P1 holds
The 35935^th star output set does not reaches the unsafe region, P1 holds
The 35934^th star output set does not reaches the unsafe region, P1 holds
The 35933^th star output set does not reaches the unsafe region, P1 holds
The 35932^th star output set does not reaches the unsafe region, P1 holds
The 35931^th star output set does not reaches the unsafe region, P1 holds
The 35930^th star output set does not reaches the unsafe region, P1 holds
The 35929^th star output set does not reaches the unsafe region, P1 holds
The 35928^th star output set does not reaches the unsafe region, P1 holds
The 35927^th star output set does not reaches the unsafe region, P1 holds
The 35926^th star output set does not reaches the unsafe region, P1 holds
The 35925^th star output set does not reaches the unsafe region, P1 holds
The 35924^th star output set does not reaches the unsafe region, P1 holds
The 35923^th star output set does not reaches the unsafe region, P1 holds
The 35922^th star output set does not reaches the unsafe region, P1 holds
The 35921^th star output set does not reaches the unsafe region, P1 holds
The 35920^th star output set does not reaches the unsafe region, P1 holds
The 35919^th star output set does not reaches the unsafe region, P1 holds
The 35918^th star output set does not reaches the unsafe region, P1 holds
The 35917^th star output set does not reaches the unsafe region, P1 holds
The 35916^th star output set does not reaches the unsafe region, P1 holds
The 35915^th star output set does not reaches the unsafe region, P1 holds
The 35914^th star output set does not reaches the unsafe region, P1 holds
The 35913^th star output set does not reaches the unsafe region, P1 holds
The 35912^th star output set does not reaches the unsafe region, P1 holds
The 35911^th star output set does not reaches the unsafe region, P1 holds
The 35910^th star output set does not reaches the unsafe region, P1 holds
The 35909^th star output set does not reaches the unsafe region, P1 holds
The 35908^th star output set does not reaches the unsafe region, P1 holds
The 35907^th star output set does not reaches the unsafe region, P1 holds
The 35906^th star output set does not reaches the unsafe region, P1 holds
The 35905^th star output set does not reaches the unsafe region, P1 holds
The 35904^th star output set does not reaches the unsafe region, P1 holds
The 35903^th star output set does not reaches the unsafe region, P1 holds
The 35902^th star output set does not reaches the unsafe region, P1 holds
The 35901^th star output set does not reaches the unsafe region, P1 holds
The 35900^th star output set does not reaches the unsafe region, P1 holds
The 35899^th star output set does not reaches the unsafe region, P1 holds
The 35898^th star output set does not reaches the unsafe region, P1 holds
The 35897^th star output set does not reaches the unsafe region, P1 holds
The 35896^th star output set does not reaches the unsafe region, P1 holds
The 35895^th star output set does not reaches the unsafe region, P1 holds
The 35894^th star output set does not reaches the unsafe region, P1 holds
The 35893^th star output set does not reaches the unsafe region, P1 holds
The 35892^th star output set does not reaches the unsafe region, P1 holds
The 35891^th star output set does not reaches the unsafe region, P1 holds
The 35890^th star output set does not reaches the unsafe region, P1 holds
The 35889^th star output set does not reaches the unsafe region, P1 holds
The 35888^th star output set does not reaches the unsafe region, P1 holds
The 35887^th star output set does not reaches the unsafe region, P1 holds
The 35886^th star output set does not reaches the unsafe region, P1 holds
The 35885^th star output set does not reaches the unsafe region, P1 holds
The 35884^th star output set does not reaches the unsafe region, P1 holds
The 35883^th star output set does not reaches the unsafe region, P1 holds
The 35882^th star output set does not reaches the unsafe region, P1 holds
The 35881^th star output set does not reaches the unsafe region, P1 holds
The 35880^th star output set does not reaches the unsafe region, P1 holds
The 35879^th star output set does not reaches the unsafe region, P1 holds
The 35878^th star output set does not reaches the unsafe region, P1 holds
The 35877^th star output set does not reaches the unsafe region, P1 holds
The 35876^th star output set does not reaches the unsafe region, P1 holds
The 35875^th star output set does not reaches the unsafe region, P1 holds
The 35874^th star output set does not reaches the unsafe region, P1 holds
The 35873^th star output set does not reaches the unsafe region, P1 holds
The 35872^th star output set does not reaches the unsafe region, P1 holds
The 35871^th star output set does not reaches the unsafe region, P1 holds
The 35870^th star output set does not reaches the unsafe region, P1 holds
The 35869^th star output set does not reaches the unsafe region, P1 holds
The 35868^th star output set does not reaches the unsafe region, P1 holds
The 35867^th star output set does not reaches the unsafe region, P1 holds
The 35866^th star output set does not reaches the unsafe region, P1 holds
The 35865^th star output set does not reaches the unsafe region, P1 holds
The 35864^th star output set does not reaches the unsafe region, P1 holds
The 35863^th star output set does not reaches the unsafe region, P1 holds
The 35862^th star output set does not reaches the unsafe region, P1 holds
The 35861^th star output set does not reaches the unsafe region, P1 holds
The 35860^th star output set does not reaches the unsafe region, P1 holds
The 35859^th star output set does not reaches the unsafe region, P1 holds
The 35858^th star output set does not reaches the unsafe region, P1 holds
The 31543^th star output set does not reaches the unsafe region, P1 holds
The 36268^th star output set does not reaches the unsafe region, P1 holds
The 36267^th star output set does not reaches the unsafe region, P1 holds
The 36266^th star output set does not reaches the unsafe region, P1 holds
The 36265^th star output set does not reaches the unsafe region, P1 holds
The 36264^th star output set does not reaches the unsafe region, P1 holds
The 36263^th star output set does not reaches the unsafe region, P1 holds
The 36262^th star output set does not reaches the unsafe region, P1 holds
The 36261^th star output set does not reaches the unsafe region, P1 holds
The 36260^th star output set does not reaches the unsafe region, P1 holds
The 36259^th star output set does not reaches the unsafe region, P1 holds
The 36258^th star output set does not reaches the unsafe region, P1 holds
The 36257^th star output set does not reaches the unsafe region, P1 holds
The 36256^th star output set does not reaches the unsafe region, P1 holds
The 36255^th star output set does not reaches the unsafe region, P1 holds
The 36254^th star output set does not reaches the unsafe region, P1 holds
The 36253^th star output set does not reaches the unsafe region, P1 holds
The 36252^th star output set does not reaches the unsafe region, P1 holds
The 36251^th star output set does not reaches the unsafe region, P1 holds
The 36250^th star output set does not reaches the unsafe region, P1 holds
The 36249^th star output set does not reaches the unsafe region, P1 holds
The 36248^th star output set does not reaches the unsafe region, P1 holds
The 36247^th star output set does not reaches the unsafe region, P1 holds
The 36246^th star output set does not reaches the unsafe region, P1 holds
The 36245^th star output set does not reaches the unsafe region, P1 holds
The 36244^th star output set does not reaches the unsafe region, P1 holds
The 36243^th star output set does not reaches the unsafe region, P1 holds
The 36242^th star output set does not reaches the unsafe region, P1 holds
The 36241^th star output set does not reaches the unsafe region, P1 holds
The 36240^th star output set does not reaches the unsafe region, P1 holds
The 36239^th star output set does not reaches the unsafe region, P1 holds
The 36238^th star output set does not reaches the unsafe region, P1 holds
The 36237^th star output set does not reaches the unsafe region, P1 holds
The 36236^th star output set does not reaches the unsafe region, P1 holds
The 36235^th star output set does not reaches the unsafe region, P1 holds
The 36234^th star output set does not reaches the unsafe region, P1 holds
The 36233^th star output set does not reaches the unsafe region, P1 holds
The 36232^th star output set does not reaches the unsafe region, P1 holds
The 36231^th star output set does not reaches the unsafe region, P1 holds
The 36230^th star output set does not reaches the unsafe region, P1 holds
The 36229^th star output set does not reaches the unsafe region, P1 holds
The 36228^th star output set does not reaches the unsafe region, P1 holds
The 36227^th star output set does not reaches the unsafe region, P1 holds
The 36226^th star output set does not reaches the unsafe region, P1 holds
The 36225^th star output set does not reaches the unsafe region, P1 holds
The 36224^th star output set does not reaches the unsafe region, P1 holds
The 36223^th star output set does not reaches the unsafe region, P1 holds
The 36222^th star output set does not reaches the unsafe region, P1 holds
The 36221^th star output set does not reaches the unsafe region, P1 holds
The 36220^th star output set does not reaches the unsafe region, P1 holds
The 36219^th star output set does not reaches the unsafe region, P1 holds
The 36218^th star output set does not reaches the unsafe region, P1 holds
The 36217^th star output set does not reaches the unsafe region, P1 holds
The 36216^th star output set does not reaches the unsafe region, P1 holds
The 36215^th star output set does not reaches the unsafe region, P1 holds
The 36214^th star output set does not reaches the unsafe region, P1 holds
The 36213^th star output set does not reaches the unsafe region, P1 holds
The 36212^th star output set does not reaches the unsafe region, P1 holds
The 36211^th star output set does not reaches the unsafe region, P1 holds
The 36210^th star output set does not reaches the unsafe region, P1 holds
The 36209^th star output set does not reaches the unsafe region, P1 holds
The 36208^th star output set does not reaches the unsafe region, P1 holds
The 36207^th star output set does not reaches the unsafe region, P1 holds
The 36206^th star output set does not reaches the unsafe region, P1 holds
The 36205^th star output set does not reaches the unsafe region, P1 holds
The 36204^th star output set does not reaches the unsafe region, P1 holds
The 36203^th star output set does not reaches the unsafe region, P1 holds
The 36202^th star output set does not reaches the unsafe region, P1 holds
The 36201^th star output set does not reaches the unsafe region, P1 holds
The 36200^th star output set does not reaches the unsafe region, P1 holds
The 36199^th star output set does not reaches the unsafe region, P1 holds
The 36198^th star output set does not reaches the unsafe region, P1 holds
The 36197^th star output set does not reaches the unsafe region, P1 holds
The 36196^th star output set does not reaches the unsafe region, P1 holds
The 36195^th star output set does not reaches the unsafe region, P1 holds
The 36194^th star output set does not reaches the unsafe region, P1 holds
The 36193^th star output set does not reaches the unsafe region, P1 holds
The 36192^th star output set does not reaches the unsafe region, P1 holds
The 36191^th star output set does not reaches the unsafe region, P1 holds
The 36190^th star output set does not reaches the unsafe region, P1 holds
The 36189^th star output set does not reaches the unsafe region, P1 holds
The 36188^th star output set does not reaches the unsafe region, P1 holds
The 36187^th star output set does not reaches the unsafe region, P1 holds
The 36186^th star output set does not reaches the unsafe region, P1 holds
The 36185^th star output set does not reaches the unsafe region, P1 holds
The 36184^th star output set does not reaches the unsafe region, P1 holds
The 36183^th star output set does not reaches the unsafe region, P1 holds
The 36182^th star output set does not reaches the unsafe region, P1 holds
The 36181^th star output set does not reaches the unsafe region, P1 holds
The 36180^th star output set does not reaches the unsafe region, P1 holds
The 36179^th star output set does not reaches the unsafe region, P1 holds
The 36178^th star output set does not reaches the unsafe region, P1 holds
The 36177^th star output set does not reaches the unsafe region, P1 holds
The 36176^th star output set does not reaches the unsafe region, P1 holds
The 36175^th star output set does not reaches the unsafe region, P1 holds
The 36174^th star output set does not reaches the unsafe region, P1 holds
The 36173^th star output set does not reaches the unsafe region, P1 holds
The 36172^th star output set does not reaches the unsafe region, P1 holds
The 36171^th star output set does not reaches the unsafe region, P1 holds
The 36170^th star output set does not reaches the unsafe region, P1 holds
The 36169^th star output set does not reaches the unsafe region, P1 holds
The 36168^th star output set does not reaches the unsafe region, P1 holds
The 36167^th star output set does not reaches the unsafe region, P1 holds
The 36166^th star output set does not reaches the unsafe region, P1 holds
The 32857^th star output set does not reaches the unsafe region, P1 holds
The 32856^th star output set does not reaches the unsafe region, P1 holds
The 32855^th star output set does not reaches the unsafe region, P1 holds
The 32854^th star output set does not reaches the unsafe region, P1 holds
The 32853^th star output set does not reaches the unsafe region, P1 holds
The 32852^th star output set does not reaches the unsafe region, P1 holds
The 32851^th star output set does not reaches the unsafe region, P1 holds
The 32850^th star output set does not reaches the unsafe region, P1 holds
The 32849^th star output set does not reaches the unsafe region, P1 holds
The 32848^th star output set does not reaches the unsafe region, P1 holds
The 32847^th star output set does not reaches the unsafe region, P1 holds
The 32846^th star output set does not reaches the unsafe region, P1 holds
The 32845^th star output set does not reaches the unsafe region, P1 holds
The 32844^th star output set does not reaches the unsafe region, P1 holds
The 32843^th star output set does not reaches the unsafe region, P1 holds
The 32842^th star output set does not reaches the unsafe region, P1 holds
The 32841^th star output set does not reaches the unsafe region, P1 holds
The 32840^th star output set does not reaches the unsafe region, P1 holds
The 32839^th star output set does not reaches the unsafe region, P1 holds
The 32838^th star output set does not reaches the unsafe region, P1 holds
The 32837^th star output set does not reaches the unsafe region, P1 holds
The 32836^th star output set does not reaches the unsafe region, P1 holds
The 32835^th star output set does not reaches the unsafe region, P1 holds
The 32834^th star output set does not reaches the unsafe region, P1 holds
The 32833^th star output set does not reaches the unsafe region, P1 holds
The 32832^th star output set does not reaches the unsafe region, P1 holds
The 32831^th star output set does not reaches the unsafe region, P1 holds
The 32830^th star output set does not reaches the unsafe region, P1 holds
The 32829^th star output set does not reaches the unsafe region, P1 holds
The 32828^th star output set does not reaches the unsafe region, P1 holds
The 32827^th star output set does not reaches the unsafe region, P1 holds
The 32826^th star output set does not reaches the unsafe region, P1 holds
The 32825^th star output set does not reaches the unsafe region, P1 holds
The 32824^th star output set does not reaches the unsafe region, P1 holds
The 32823^th star output set does not reaches the unsafe region, P1 holds
The 32822^th star output set does not reaches the unsafe region, P1 holds
The 32821^th star output set does not reaches the unsafe region, P1 holds
The 32820^th star output set does not reaches the unsafe region, P1 holds
The 32819^th star output set does not reaches the unsafe region, P1 holds
The 32818^th star output set does not reaches the unsafe region, P1 holds
The 32817^th star output set does not reaches the unsafe region, P1 holds
The 32816^th star output set does not reaches the unsafe region, P1 holds
The 32815^th star output set does not reaches the unsafe region, P1 holds
The 32814^th star output set does not reaches the unsafe region, P1 holds
The 32813^th star output set does not reaches the unsafe region, P1 holds
The 32812^th star output set does not reaches the unsafe region, P1 holds
The 32811^th star output set does not reaches the unsafe region, P1 holds
The 32810^th star output set does not reaches the unsafe region, P1 holds
The 32809^th star output set does not reaches the unsafe region, P1 holds
The 32808^th star output set does not reaches the unsafe region, P1 holds
The 32807^th star output set does not reaches the unsafe region, P1 holds
The 32806^th star output set does not reaches the unsafe region, P1 holds
The 32805^th star output set does not reaches the unsafe region, P1 holds
The 32804^th star output set does not reaches the unsafe region, P1 holds
The 32803^th star output set does not reaches the unsafe region, P1 holds
The 32802^th star output set does not reaches the unsafe region, P1 holds
The 32801^th star output set does not reaches the unsafe region, P1 holds
The 32800^th star output set does not reaches the unsafe region, P1 holds
