
===============================================VERIFICATION RESULTS FOR PROPERTY P4====================================================

=======================================================================================================================================

Network ID       Reluplex               Exact-Star              Approx-star                 Zonotope               Abstract-Domain
               Res      VT         Res      VT     Imp       Res      VT     Imp       Res      VT     Imp       Res      VT     Imp
N_11          UNSAT   1291.0      UNSAT  181.6      7.1       UNK    0.6    2255.6       UNK    0.0  104758.3       UNK   1.6     824.6
N_12          UNSAT   1267.0      UNSAT  121.4     10.4       UNK    0.7    1769.3       UNK    0.0  100565.9       UNK   1.6     797.6
N_13          UNSAT   1150.0      UNSAT   98.6     11.7       UNK    0.8    1393.4       UNK    0.0   88904.0       UNK   1.8     648.0
N_14          UNSAT   107.0       UNSAT    7.8     13.8       UNK    0.4     261.4       UNK    0.0    8596.9       UNK   1.5      70.2
N_15          UNSAT   352.0       UNSAT   69.9      5.0       UNK    0.4     816.1       UNK    0.0   27833.8       UNK   1.4     255.8
N_16          UNSAT   219.0       UNSAT   32.9      6.7     UNSAT    0.5     455.7       UNK    0.0   12598.1       UNK   1.4     151.2
N_17          SAT     1.0           SAT    4.1      0.2       UNK    0.2       4.4       UNK    0.0      59.8       UNK   1.3       0.8
N_18          SAT     3.0           SAT    2.8      1.1       UNK    0.2      12.9       UNK    0.0     257.0       UNK   1.4       2.2
N_19          SAT     3.0           SAT    2.7      1.1       UNK    0.2      15.3       UNK    0.0     261.9       UNK   1.3       2.3
N_21          UNSAT   330.0       UNSAT   38.9      8.5       UNK    0.6     532.7       UNK    0.0   26184.4       UNK   1.5     217.4
N_22          UNSAT   415.0       UNSAT   37.6     11.0       UNK    0.7     623.7       UNK    0.0   33119.7       UNK   1.6     266.1
N_23          UNSAT   243.0       UNSAT    7.2     33.6     UNSAT    0.3     694.7       UNK    0.0   21002.6       UNK   1.4     178.0
N_24          UNSAT   86.0        UNSAT    8.2     10.5     UNSAT    0.5     190.4       UNK    0.0    6848.2     UNSAT   1.4      61.0
