Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |        9.72% |       22.75% |       2.7201 |       2.2080 |          0.0100 |
|       2 |           2 |       00:00:03 |       21.73% |       35.13% |       2.2146 |       2.1645 |          0.0100 |
|       3 |           3 |       00:00:03 |       35.06% |       30.16% |       2.1661 |       2.0651 |          0.0100 |
|       4 |           4 |       00:00:04 |       30.05% |       59.31% |       2.0662 |       1.9378 |          0.0100 |
|       5 |           5 |       00:00:04 |       57.92% |       63.68% |       1.9432 |       1.8063 |          0.0100 |
|       6 |           6 |       00:00:05 |       62.24% |       60.97% |       1.8151 |       1.6830 |          0.0100 |
|       7 |           7 |       00:00:06 |       59.77% |       64.14% |       1.6949 |       1.5673 |          0.0100 |
|       8 |           8 |       00:00:06 |       62.57% |       70.80% |       1.5817 |       1.4575 |          0.0100 |
|       9 |           9 |       00:00:07 |       68.99% |       75.05% |       1.4746 |       1.3531 |          0.0100 |
|      10 |          10 |       00:00:08 |       73.18% |       78.13% |       1.3718 |       1.2522 |          0.0100 |
|      11 |          11 |       00:00:08 |       76.15% |       81.02% |       1.2731 |       1.1551 |          0.0100 |
|      12 |          12 |       00:00:09 |       78.58% |       82.26% |       1.1785 |       1.0629 |          0.0100 |
|      13 |          13 |       00:00:09 |       80.13% |       83.07% |       1.0886 |       0.9776 |          0.0100 |
|      14 |          14 |       00:00:10 |       81.07% |       83.33% |       1.0040 |       0.8984 |          0.0100 |
|      15 |          15 |       00:00:10 |       81.78% |       83.97% |       0.9246 |       0.8272 |          0.0100 |
|      16 |          16 |       00:00:11 |       82.32% |       84.82% |       0.8550 |       0.7635 |          0.0100 |
|      17 |          17 |       00:00:12 |       83.30% |       86.17% |       0.7933 |       0.7068 |          0.0100 |
|      18 |          18 |       00:00:12 |       84.49% |       87.22% |       0.7368 |       0.6553 |          0.0100 |
|      19 |          19 |       00:00:13 |       85.45% |       87.90% |       0.6856 |       0.6105 |          0.0100 |
|      20 |          20 |       00:00:14 |       86.35% |       88.31% |       0.6405 |       0.5705 |          0.0100 |
|      21 |          21 |       00:00:14 |       86.90% |       88.68% |       0.5988 |       0.5318 |          0.0100 |
