Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:04 |       10.12% |       33.29% |       2.4442 |       1.8835 |          0.0100 |
|       2 |           2 |       00:00:05 |       32.02% |       66.63% |       1.9279 |       1.2444 |          0.0100 |
|       3 |           3 |       00:00:06 |       64.65% |       70.89% |       1.2784 |       1.0047 |          0.0100 |
|       4 |           4 |       00:00:07 |       69.20% |       74.85% |       1.0397 |       0.7938 |          0.0100 |
|       5 |           5 |       00:00:07 |       72.84% |       82.65% |       0.8359 |       0.6581 |          0.0100 |
|       6 |           6 |       00:00:08 |       80.63% |       81.62% |       0.7056 |       0.6372 |          0.0100 |
|       7 |           7 |       00:00:09 |       79.76% |       84.62% |       0.6871 |       0.5500 |          0.0100 |
|       8 |           8 |       00:00:10 |       82.75% |       84.90% |       0.5957 |       0.4981 |          0.0100 |
|       9 |           9 |       00:00:11 |       83.30% |       85.72% |       0.5404 |       0.4642 |          0.0100 |
|      10 |          10 |       00:00:11 |       83.90% |       86.78% |       0.5042 |       0.4319 |          0.0100 |
|      11 |          11 |       00:00:12 |       85.14% |       87.93% |       0.4702 |       0.3985 |          0.0100 |
|      12 |          12 |       00:00:13 |       86.75% |       89.02% |       0.4356 |       0.3745 |          0.0100 |
|      13 |          13 |       00:00:14 |       87.70% |       89.67% |       0.4108 |       0.3610 |          0.0100 |
|      14 |          14 |       00:00:15 |       88.16% |       89.99% |       0.3964 |       0.3465 |          0.0100 |
|      15 |          15 |       00:00:15 |       88.61% |       90.55% |       0.3795 |       0.3280 |          0.0100 |
|      16 |          16 |       00:00:16 |       89.31% |       90.92% |       0.3580 |       0.3132 |          0.0100 |
|      17 |          17 |       00:00:17 |       89.87% |       91.13% |       0.3410 |       0.3053 |          0.0100 |
|      18 |          18 |       00:00:18 |       90.11% |       91.27% |       0.3319 |       0.3001 |          0.0100 |
|      19 |          19 |       00:00:19 |       90.32% |       91.54% |       0.3258 |       0.2920 |          0.0100 |
|      20 |          20 |       00:00:19 |       90.53% |       91.84% |       0.3167 |       0.2802 |          0.0100 |
|      21 |          21 |       00:00:20 |       91.06% |       92.08% |       0.3034 |       0.2686 |          0.0100 |
