Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |       10.47% |       39.17% |       2.5914 |       1.7096 |          0.0010 |
|       2 |           2 |       00:00:04 |       38.29% |       66.07% |       1.7472 |       1.0811 |          0.0010 |
|       3 |           3 |       00:00:05 |       63.92% |       76.62% |       1.1386 |       0.7940 |          0.0010 |
|       4 |           4 |       00:00:06 |       75.06% |       79.75% |       0.8457 |       0.6557 |          0.0010 |
|       5 |           5 |       00:00:06 |       77.85% |       83.84% |       0.7048 |       0.5423 |          0.0010 |
|       6 |           6 |       00:00:07 |       81.90% |       84.66% |       0.5906 |       0.4789 |          0.0010 |
|       7 |           7 |       00:00:08 |       83.08% |       86.06% |       0.5235 |       0.4346 |          0.0010 |
|       8 |           8 |       00:00:09 |       84.48% |       87.82% |       0.4747 |       0.3902 |          0.0010 |
|       9 |           9 |       00:00:10 |       86.42% |       88.88% |       0.4290 |       0.3668 |          0.0010 |
|      10 |          10 |       00:00:11 |       87.57% |       89.26% |       0.4054 |       0.3600 |          0.0010 |
|      11 |          11 |       00:00:11 |       87.88% |       89.28% |       0.3961 |       0.3530 |          0.0010 |
|      12 |          12 |       00:00:12 |       88.29% |       89.73% |       0.3838 |       0.3361 |          0.0010 |
|      13 |          13 |       00:00:13 |       89.09% |       90.66% |       0.3601 |       0.3157 |          0.0010 |
|      14 |          14 |       00:00:14 |       90.05% |       91.22% |       0.3323 |       0.3002 |          0.0010 |
|      15 |          15 |       00:00:15 |       90.67% |       91.28% |       0.3118 |       0.2917 |          0.0010 |
|      16 |          16 |       00:00:15 |       90.97% |       91.70% |       0.3001 |       0.2873 |          0.0010 |
|      17 |          17 |       00:00:16 |       91.16% |       91.83% |       0.2927 |       0.2825 |          0.0010 |
|      18 |          18 |       00:00:17 |       91.35% |       92.03% |       0.2849 |       0.2761 |          0.0010 |
|      19 |          19 |       00:00:18 |       91.64% |       92.24% |       0.2746 |       0.2673 |          0.0010 |
|      20 |          20 |       00:00:19 |       92.07% |       92.43% |       0.2622 |       0.2580 |          0.0010 |
|      21 |          21 |       00:00:20 |       92.50% |       92.70% |       0.2501 |       0.2501 |          0.0010 |
