Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |        6.90% |       42.51% |       2.7688 |       1.8348 |          0.0100 |
|       2 |           2 |       00:00:03 |       41.22% |       56.52% |       1.8785 |       1.4049 |          0.0100 |
|       3 |           3 |       00:00:04 |       54.75% |       70.06% |       1.4415 |       1.1136 |          0.0100 |
|       4 |           4 |       00:00:05 |       67.80% |       75.65% |       1.1556 |       0.9143 |          0.0100 |
|       5 |           5 |       00:00:06 |       73.23% |       78.40% |       0.9576 |       0.7856 |          0.0100 |
|       6 |           6 |       00:00:06 |       75.73% |       82.52% |       0.8304 |       0.6843 |          0.0100 |
|       7 |           7 |       00:00:07 |       79.81% |       84.22% |       0.7304 |       0.6193 |          0.0100 |
|       8 |           8 |       00:00:08 |       81.83% |       85.24% |       0.6629 |       0.5627 |          0.0100 |
|       9 |           9 |       00:00:09 |       83.08% |       86.52% |       0.6068 |       0.5083 |          0.0100 |
|      10 |          10 |       00:00:09 |       84.62% |       87.39% |       0.5517 |       0.4680 |          0.0100 |
|      11 |          11 |       00:00:10 |       85.45% |       88.15% |       0.5131 |       0.4385 |          0.0100 |
|      12 |          12 |       00:00:11 |       86.40% |       88.74% |       0.4798 |       0.4080 |          0.0100 |
|      13 |          13 |       00:00:11 |       87.31% |       89.21% |       0.4472 |       0.3837 |          0.0100 |
|      14 |          14 |       00:00:12 |       88.00% |       89.43% |       0.4205 |       0.3656 |          0.0100 |
|      15 |          15 |       00:00:13 |       88.28% |       89.75% |       0.4017 |       0.3533 |          0.0100 |
|      16 |          16 |       00:00:13 |       88.66% |       90.00% |       0.3884 |       0.3411 |          0.0100 |
|      17 |          17 |       00:00:14 |       89.06% |       90.38% |       0.3736 |       0.3308 |          0.0100 |
|      18 |          18 |       00:00:15 |       89.45% |       90.59% |       0.3586 |       0.3217 |          0.0100 |
|      19 |          19 |       00:00:15 |       89.76% |       90.86% |       0.3472 |       0.3133 |          0.0100 |
|      20 |          20 |       00:00:16 |       90.08% |       91.04% |       0.3368 |       0.3047 |          0.0100 |
|      21 |          21 |       00:00:17 |       90.38% |       91.06% |       0.3269 |       0.2958 |          0.0100 |
