Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |       11.61% |       23.92% |       2.5038 |       3.0971 |          0.0010 |
|       2 |           2 |       00:00:04 |       22.88% |       43.29% |       3.1447 |       2.8063 |          0.0010 |
|       3 |           3 |       00:00:05 |       43.21% |       54.13% |       2.8028 |       2.2926 |          0.0010 |
|       4 |           4 |       00:00:06 |       52.66% |       59.37% |       2.3005 |       1.8728 |          0.0010 |
|       5 |           5 |       00:00:07 |       57.82% |       66.12% |       1.8961 |       1.2576 |          0.0010 |
|       6 |           6 |       00:00:07 |       64.50% |       79.29% |       1.2966 |       0.8103 |          0.0010 |
|       7 |           7 |       00:00:08 |       76.90% |       61.62% |       0.8569 |       1.0769 |          0.0010 |
|       8 |           8 |       00:00:09 |       59.63% |       66.01% |       1.1299 |       0.9830 |          0.0010 |
|       9 |           9 |       00:00:10 |       63.65% |       80.57% |       1.0427 |       0.6668 |          0.0010 |
|      10 |          10 |       00:00:11 |       78.20% |       82.98% |       0.7244 |       0.5918 |          0.0010 |
|      11 |          11 |       00:00:11 |       80.45% |       78.86% |       0.6470 |       0.6529 |          0.0010 |
|      12 |          12 |       00:00:12 |       76.11% |       77.68% |       0.7103 |       0.6785 |          0.0010 |
|      13 |          13 |       00:00:13 |       75.31% |       80.98% |       0.7397 |       0.6123 |          0.0010 |
|      14 |          14 |       00:00:14 |       78.46% |       84.54% |       0.6752 |       0.5217 |          0.0010 |
|      15 |          15 |       00:00:15 |       81.78% |       87.03% |       0.5824 |       0.4564 |          0.0010 |
|      16 |          16 |       00:00:15 |       84.59% |       86.82% |       0.5112 |       0.4512 |          0.0010 |
|      17 |          17 |       00:00:16 |       85.20% |       85.21% |       0.5021 |       0.4853 |          0.0010 |
|      18 |          18 |       00:00:17 |       83.71% |       84.90% |       0.5362 |       0.4875 |          0.0010 |
|      19 |          19 |       00:00:18 |       83.49% |       86.61% |       0.5379 |       0.4442 |          0.0010 |
|      20 |          20 |       00:00:19 |       84.93% |       88.07% |       0.4921 |       0.4000 |          0.0010 |
|      21 |          21 |       00:00:20 |       86.62% |       88.75% |       0.4456 |       0.3829 |          0.0010 |
