Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |       10.57% |       44.05% |       2.6330 |       1.7925 |          0.0100 |
|       2 |           2 |       00:00:03 |       42.71% |       51.95% |       1.8137 |       1.4149 |          0.0100 |
|       3 |           3 |       00:00:04 |       50.31% |       70.86% |       1.4580 |       0.9789 |          0.0100 |
|       4 |           4 |       00:00:05 |       67.81% |       71.63% |       1.0271 |       0.8851 |          0.0100 |
|       5 |           5 |       00:00:05 |       69.11% |       80.15% |       0.9336 |       0.7086 |          0.0100 |
|       6 |           6 |       00:00:06 |       77.66% |       80.38% |       0.7558 |       0.6351 |          0.0100 |
|       7 |           7 |       00:00:06 |       78.35% |       82.88% |       0.6814 |       0.5689 |          0.0100 |
|       8 |           8 |       00:00:07 |       80.99% |       84.96% |       0.6148 |       0.5075 |          0.0100 |
|       9 |           9 |       00:00:08 |       83.36% |       85.20% |       0.5503 |       0.4790 |          0.0100 |
|      10 |          10 |       00:00:08 |       83.96% |       86.54% |       0.5230 |       0.4359 |          0.0100 |
|      11 |          11 |       00:00:09 |       85.33% |       87.99% |       0.4800 |       0.3997 |          0.0100 |
|      12 |          12 |       00:00:09 |       86.71% |       88.18% |       0.4414 |       0.3870 |          0.0100 |
|      13 |          13 |       00:00:10 |       87.08% |       88.35% |       0.4261 |       0.3806 |          0.0100 |
|      14 |          14 |       00:00:11 |       87.31% |       88.75% |       0.4160 |       0.3625 |          0.0100 |
|      15 |          15 |       00:00:11 |       87.83% |       89.65% |       0.3976 |       0.3392 |          0.0100 |
|      16 |          16 |       00:00:12 |       88.73% |       90.41% |       0.3753 |       0.3245 |          0.0100 |
|      17 |          17 |       00:00:13 |       89.21% |       90.60% |       0.3609 |       0.3176 |          0.0100 |
|      18 |          18 |       00:00:13 |       89.37% |       90.70% |       0.3525 |       0.3097 |          0.0100 |
|      19 |          19 |       00:00:14 |       89.85% |       91.19% |       0.3415 |       0.2984 |          0.0100 |
|      20 |          20 |       00:00:14 |       90.27% |       91.53% |       0.3285 |       0.2898 |          0.0100 |
|      21 |          21 |       00:00:15 |       90.58% |       91.42% |       0.3172 |       0.2860 |          0.0100 |
